2026-05-22 03:03:42 | INFO     | services.decision_engine | Decision output → {'action': 'MANUAL_REVIEW', 'reason': 'Image authenticity could not be determined (API error). ML risk is HIGH — routing to manual review.', 'severity': 'HIGH'}
2026-05-22 03:03:54 | INFO     | main | Validate request: orders=20, returns=1, fraud_flag=1
2026-05-22 03:03:54 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=HIGH, risk_score=0.9357, return_type=return
2026-05-22 03:03:54 | INFO     | services.decision_engine | Decision output → {'action': 'MANUAL_REVIEW', 'reason': 'Image authenticity could not be determined (API error). ML risk is HIGH — routing to manual review.', 'severity': 'HIGH'}
2026-05-22 03:04:15 | INFO     | main | Validate request: orders=20, returns=9, fraud_flag=0
2026-05-22 03:04:15 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5545, return_type=return
2026-05-22 03:04:15 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:04:23 | INFO     | main | Validate request: orders=20, returns=12, fraud_flag=0
2026-05-22 03:04:23 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5652, return_type=return
2026-05-22 03:04:23 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:04:32 | INFO     | main | Validate request: orders=20, returns=15, fraud_flag=0
2026-05-22 03:04:32 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5652, return_type=return
2026-05-22 03:04:32 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:05:01 | INFO     | main | Validate request: orders=20, returns=10, fraud_flag=0
2026-05-22 03:05:01 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5652, return_type=return
2026-05-22 03:05:01 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:05:09 | INFO     | main | Validate request: orders=20, returns=6, fraud_flag=0
2026-05-22 03:05:09 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5132, return_type=return
2026-05-22 03:05:09 | INFO     | services.decision_engine | Decision output → {'action': 'SEND_AGENT', 'reason': 'Image authenticity could not be determined (API error). Sending to agent for manual image check.', 'severity': 'MEDIUM'}
2026-05-22 03:05:18 | INFO     | main | Validate request: orders=20, returns=6, fraud_flag=0
2026-05-22 03:05:18 | INFO     | services.decision_engine | Decision input → image_status=UNKNOWN, confidence=0.5, risk_level=LOW, risk_score=0.5667, return_type=return
